Josh Paiva	D		-
Elias Garcia	L	KO	1
Casey Kenney	W	Decision - Split	3
Irfan Khan	W	Submission (Arm Triangle)	1
Alex Perez	W	Submission (Guillotine)	1
Eloy Garza	W	Unanimous Decision	3
Ron Henderson	W	Technical Submission (Rear-Naked Choke)	3
Alex Uribe	W	TKO	1
David Gray	W	Submission (Rear Naked Choke)	2
Ryan Bastianelli	W	TKO	1
Rob Whitlock	W	Submission (Guillotine)	1
Ronald Carillo	L	Submission	1
Adam Rothweiler	L	Submission (Rear Naked Choke)	1
Anthony Perales	W	Submission (Rear Naked Choke)	2
Taylor McCorriston	L	Unanimous Decision	3
Javi Alanis	W	TKO	2
Ben Flores	W	Submission (Armbar)	2
Hugo Govea	W	Submission (Rear Naked Choke)	1
