Song Yadong	L
Cody Stamann	L
Eddie Wineland	W
Matthew Lopez	W
Iuri Alcantara	W
Andre Soukhamthath	W
Albert Morales	D
Ian Entwistle	W
Scott Jorgensen	W
Patrick Williams	L
Jose Quinonez	W
Guido Cannetti	W
Wanderson Marinho	W
Jose Quinonez	L
Carlo Medina	W
Masio Fullen	W
Fabian Galvan	W
Masio Fullen	L
Gilberto Aguilar	W
Rodolfo Rubio	W
Jorge Pineda	W
Victor Jauregui	W
Gaston Perez	W
Kevin Dunsmoor	L
Carlos de Luna	W
Ivan Lopez	L
Jorge Pineda	W
Chris David	L
Roberto Esparaza	W
Marcello Porto	W
Mario Rivera	W
