Roosevelt Roberts	L
Alex Da Silva	W
Zak Cummings	L
Kamaru Usman	L
George Sullivan	W
Gray Maynard	W
Nico Musoke	L
Demian Maia	L
Paul Daley	W
Reinaldo da Silva	W
Murad Abdulaev	W
Rashid Magomedov	L
Shamil Zavurov	D
Juan Manuel Suarez	W
Christian Eckerlin	W
Dimitri Anghelou	W
Hamid Gereyhanov	W
Vahe Tadevosyan	W
Jacob McClintock	L
Uriy Pulaev	W
Alexander Kokoev	W
Gigam Matevosian	W
Gigam Matevosian	W
Karl Amoussou	L
Ishkhan Zakharian	W
Andrei Simykin	W
Alexander Grebenkin	W
Oleg Glazunov	W
Danila Veselov	W
Artur Korchemny	W
Dmitry Sokov	W
Magomed Tugayev	L
Vladimir Magomedshayshafiev	W
Vladimir Magomedshayshafiev	W
