Augusto Sakai	W
Walt Harris	W
Jairzinho Rozenstruik	L
Aleksei Oleinik	W
Sergei Pavlovich	W
Curtis Blaydes	L
Francis Ngannou	L
Fabricio Werdum	W
Mark Hunt	W
Stipe Miocic	L
Andrei Arlovski	W
Junior Dos Santos	W
Roy Nelson	W
Stefan Struve	W
Ben Rothwell	L
Frank Mir	W
Travis Browne	L
Antonio Silva	L
Brock Lesnar	W
Fabricio Werdum	W
Todd Duffee	W
Brett Rogers	W
Kazuyuki Fujita	W
James Thompson	W
Tony Sylvester	W
Gary Goodridge	W
Mirko Filipovic	D
Mark Hunt	W
Tae Hyun Lee	W
Paul Buentello	W
Sergei Kharitonov	L
Michael Knaap	W
Mauricio Rua	L
Ricardo Arona	L
Rogerio Nogueira	L
Vitor Belfort	W
Fabricio Werdum	L
Nikolajus Cilkinas	W
Sergei Kharitonov	W
Mauricio Rua	L
Igor Vovchanchyn	W
Vitor Belfort	W
Rogerio Nogueira	L
Hiromitsu Kanehara	W
Rodney Glunder	W
Tomohiko Hashimoto	W
Chuck Liddell	L
Mike Bencic	W
Aaron Brink	W
Bozigit Ataev	W
Dave Vader	W
Moise Rimbon	W
Yusuke Imamura	W
Vesa Vuori	W
Sergey Kaznovsky	W
Roman Zentsov	W
Stanislav Nuschik	W
Vladimer Tchanturia	W
Peter Verschuren	W
Bobby Hoffman	L
Yuriy Kochkine	L
Masuhito Wanamekawa	W
Can Sahinbas	W
Chris Watts	W
Yuriy Kochkine	L
Ricardo Fyeet	W
