Andre Ewell	L
Nad Narimani	L
Aleandro Caetano	W
Wanderley da Silva Ferreira Jr.	W
Fard Muhammad	W
Victor Henry	L
Claudio Aparecido Bertarello	W
Said Nurmagomedov	L
Josema Jose da Paz	W
Thiago dos Santos	W
Andrew Whitney	L
Ricky Simon	W
Josenaldo Silva	L
Mario Danilo	W
Eduardo de Souza Silva	L
Arivaldo Lima da Silva	W
Michel de Oliveira	W
Marcos Vinicius	W
Jose Alexandre	W
Ricardo Sattelmayer	W
Leandro Santos	W
Fernando Lima	W
Adilson Dias	W
Edson Missio	W
Everaldo Souza	L
Cemir Silva	W
Jorge Andrade	W
Ronielmo Lopes	W
