Louis Taylor	L
Rex Harris	L
Yushin Okami	L
Alexandre Hoffman	W
Martin Ottaviano	W
Tyago Moreira	W
Ty Costa	W
Luciano Cesar Santos Faria	W
Tiago Varejao Lacerda	W
Benito Tavares Cavalcante	W
Ademir Cardoso	W
Norberto dos Santos Neres	W
Ney Duarte dos Santos	D
Andre Ricardo dos Santos Goncalves	L
Beto Silva	W
Rodrigo Goncalves	L
Jean Sanderson da Costa	W
Leandro Silva	L
Andre Ricardo dos Santos Goncalves	W
Tiago Varejao Lacerda	L
Abenilson Cardoso	W
Wellington Geraldo de Oliveira	W
Alexandre Goncalves	W
Jean Sanderson da Costa	W
Edilberto de Oliveira	L
Jose Rodrigo Guelke	W
Alisson Lima	W
Eunapio Edson Freitas	W
Michel Prazeres	L
Ronaldo Carioca	W
Jose Otavio dos Santos Lacerda	W
Jose Otavio dos Santos Lacerda	W
Anderson Giangiulio	W
Tiago Samuray	W
Carlos Fabio	W
