Donald Cerrone	W
Diego Ferreira	L
Nate Diaz	L
Stephen Thompson	W
Tony Ferguson	L
Michael Chiesa	W
Dustin Poirier	L
Jim Miller	W
Max Holloway	L
Charles Oliveira	W
Edson Barboza	L
Eddie Alvarez	L
Rafael Dos Anjos	L
Gilbert Melendez	W
Benson Henderson	W
Donald Cerrone	W
Joe Lauzon	W
Jeremy Stephens	W
Clay Guida	L
Benson Henderson	W
Shane Roller	W
Alex Karalexis	W
Danny Castillo	W
Bart Palaszewski	L
Mike Campbell	W
Gabe Wallbridge	W
Jay Ellis	W
Sherron Leggett	W
Mike Lambrecht	W
George Barrazza	W
Michael Skinner	W
Lonny Amdahl	W
Tom Erspamer	W
