Joby Sanchez	L
Alptekin Ozkilic	L
Rafael de Freitas	D
Josh Sampo	L
Bibiano Fernandes	L
Masakazu Imanari	W
Bibiano Fernandes	L
Hideo Tokoro	W
Miguel Torres	L
Chad George	W
Scott Jorgensen	L
Kenji Osawa	W
Scott Jorgensen	W
Bryan Goldsby	W
Manny Tapia	L
Justin Robbins	W
Charlie Valencia	L
Mike French	W
Cole Escovedo	D
Eddie Wineland	L
James Cottrell	W
Kimihito Nonaka	W
Justin Tavernini	W
Ed Tomaselli	W
Mike Lindquist	W
Brandon Shuey	W
Yobie Song	W
Jim Kikuchi	W
Jeff Bedard	L
Steve Hecht	W
Stephen Palling	L
Brian Peterson	W
Daniel Garlets	W
