Mike Rodriguez	D	No Contest	3
Alexandre Silva	W	TKO (Punches)	2
Vinicius Moreira	L	Submission	2
Edvaldo de Oliveira	W	Submission (Arm Triangle)	3
Rafael Monteiro	W	TKO (Punches)	2
Adilson Costa Ferreira	W	Decision - Unanimous	3
Matheus Scheffel	W	TKO (Punches)	1
Michal Fijalka	L	Submission (Rear Naked Choke)	2
Alex Junius	W	TKO (Punches)	1
Rafael Monteiro	W	TKO (Retirement)	2
Thiago Florindo	L	Submission (Arm Triangle)	2
Leonardo Gosling	W	TKO (Punches)	1
Bruno Marks	W	TKO	1
Tassio de Paula Souza	W	Submission	1
Leandro Frast	W	TKO (Punches)	1
Rodrigo Jesus	L	Decision - Unanimous	3
Marcio Telles	W	Submission (Heel Hook)	1
Cezar Alves	W	TKO (Punches)	1
Cesar Fabiano Rodrigues	L	Submission (Heel Hook)	1
