Chase Hooper	D	Decision - Split (Draw)	3
Mike Stevens	W	TKO	1
Sidney Outlaw	L	Submission (Rear Naked Choke)	2
D'Juan Owens	W	TKO	3
Jordan Rinaldi	L	Submission (Armbar)	2
Pat DeFranco	L	TKO	1
Max Bohanan	L	TKO	1
Lawrence Dennis	W	TKO	3
Jose Mariscal	L	Decision - Unanimous	3
Lawrence Dennis	W	Submission (Guillotine)	4
Eddie Lenoci	L	Decision - Split	3
Eric Calderon	W	Decision - Unanimous	3
Anthony McGlynn	W	TKO	1
Lawrence Dennis	W	Decision - Unanimous	3
Jimmy Jordan	L	Decision - Unanimous	3
Jeff Peterson	L	Decision - Unanimous	3
