Justin Salas	L
Tony Ferguson	L
Joe Brammer	W
Ross Pearson	L
Shane Nelson	W
Shane Nelson	L
Jorge Gurgel	W
Steve Claveau	W
Thiago Meller	W
Ryan Schultz	L
Eddie Alvarez	L
Darrell Smith	W
Spencer Fisher	L
Michihiro Omigawa	W
Andrew Chappelle	W
Maicon Alarcao	W
Nuri Shakir	W
Sammy Morgan	L
Cedric Marks	W
Nick Gilardi	W
Chris Lytle	L
Alexandre Barros	W
Robbie Lawler	L
Mike Willus	W
Yves Edwards	L
Earl Thompson	W
Steve Berger	W
Aaron Stregles	W
Jeremy Bennett	W
Colin O'Rourke	W
Falaniko Vitale	L
Yves Edwards	L
Joe Merit	W
CJ Fernandes	D
Billy Johnson	W
Rob Tallack	W
Tony Apponte	W
James Julian	W
Shane Garrett	W
Phil Stroffolino	W
Brian Boclair	W
Chris Mounce	W
Billy Johnson	W
Mario Roberto	L
Chris Malgieri	W
