Kazuki Tokudome	L
Kota Shimoishi	W
Honorio Banario	L
Amir Khan	L
Roger Huerta	L
Eduard Folayang	L
Peter Davis	W
Vincent Latoel	W
Jai Bradney	W
Narantungalag Jadamba	L
Muhsin Corbbrey	W
Yui Chul Nam	W
Woo Sung Yu	W
Zidov Dominik	W
Bernardo Magalhaes	L
Yui Chul Nam	D
Rob Hill	W
Denis Kelly	W
Bernardo Magalhaes	L
Zach Skinner	W
David Moreno	W
Katsuya Toida	D
Taiyo Nakahara	W
Jacob Sidic	L
Hideki Kadowaki	L
Takumi Murata	W
Takumi Murata	W
Stuart Nairne	W
Peter Davis	W
Gavin Murie	W
Stephen Gillinder	W
Jason Wild	L
Matt Prince	W
Edward Button	W
Roy Bridgewater	W
Chris Heilscher	W
Jason Wild	L
John McNamara	L
