Derrick Lewis	L
Fabricio Werdum	W
Maurice Greene	W
Walt Harris	L
Alistair Overeem	L
Mark Hunt	W
Junior Albini	W
Curtis Blaydes	L
Travis Browne	W
Viktor Pesta	W
Daniel Omielanczuk	L
Jared Rosholt	W
Anthony Hamilton	W
Mirko Filipovic	W
Dion Staring	W
Jeff Monson	W
Tony Lopez	W
Leo Pla	W
Martin Hudey	W
Mike Stewart	W
Jerry Otto	W
Sergey Terezimov	W
Jeff Monson	L
Magomed Malikov	L
Ernest Kostanyan	W
Neil Grove	L
Mike Hayes	W
Thiago Santos	W
Michal Kita	L
Eddy Bengtsson	W
Rogent Lloret	D
Sang Soo Lee	W
Jessie Gibbs	W
Islam Dadalov	W
Abdulhalik Magomedov	W
Telman Sherifov	W
Oleg Kutepov	W
Baga Agaev	W
Konstantyn Stryzhak	L
Makasharip Makasharipov	W
Alexander Timonov	W
Daniel Dowda	W
Sherman Pendergarst	W
Chris Tuchscherer	L
Gela Getsadze	W
Ishkhan Zakharian	W
Andrey Oleinik	W
Timur Gasanov	W
Alavutdin Gadjiev	W
Adlan Amagov	W
Karol Bedorf	W
Krzysztof Kulak	W
Lukasz Wos	W
Shamil Nurmagomedov	W
Chael Sonnen	L
Ishkhan Zakharian	W
Vladimir Rudakov	W
Magomed Sultanakhmedov	W
Shavkat Urakov	W
Flavio Luiz Moura	L
Marcelo Alfaya	W
Azred Telkusheev	W
Ubaidula Chopolaev	W
Ramin Tagiev	W
Igor Bondarenko	W
Gennadiy Matsigora	W
Gennadiy Matsigora	W
Vladimir Malyshev	W
Clarence Thatch	W
Leonid Efremov	L
Igor Akinin	W
Artem Kondratko	W
Sergey Zalikhvatko	W
Alexandr Kruglenko	W
