Peter Sobotta	W
Max Griffin	W
Nicolas Dalby	L
Mike Perry	L
Gunnar Nelson	L
Carlo Pedersoli	W
Carlos Condit	W
Yancy Medeiros	L
Ryan LaFlare	W
Tim Means	W
Tim Means	D
Will Brooks	W
James Moontasri	W
Donald Cerrone	L
Piotr Hallmann	W
Joe Merritt	W
KJ Noons	W
Gilbert Burns	L
Joilton Santos	W
Douglas Aparecido	W
Ederson Moreira	W
Rogerio Matias da Conceicao	D
Fabio Lima Ferreira	W
Thiago Macedo	W
Kenedy Gualande Andrade	D
Jone Garcia	W
Wendell de Oliveira Marques	L
Daniel Silva	W
Fabio Ohany	W
Leandro Beinrothi	W
Wallace Dantas	L
Rodrigo Pitbull	W
