Aleksei Kunchenko	L
Eler Narmurzaev	W
Keith Johnson	W
Corey Nelson	D
Mihail Cotruta	W
Abukar Yandiev	L
Rubenilton Pereira	W
Artiom Damkovsky	W
Sascha Sharma	W
Heydar Mamedaliev	W
Dinislam Kamavov	D
Frankledson Costa	W
Serghei Morari	W
Nerman Abbasov	L
Anton Radman	L
Niko Puhakka	W
Islam Salihov	W
Anatoly Safronov	W
Andrey Reznik	W
Alexander Sarnavskiy	L
Sergei Ionel	W
Sterling Ford	W
Vladislav Stepanov	W
Michael Goriashvili	W
Serghei Popa	W
Oleg Bozhik	W
Ashot Shahinyan	W
Valentin Nikolov	W
Artem Zhuk	W
Vladislav Yurchenko	W
Sergey Sinyaev	W
Magomed Idrisov	L
Artem Perehristyuk	W
Harun Kina	W
Michal Elsner	L
Abudokar Dukarey	W
Arthur Kascheev	W
Vladimir Baev	W
Mariusz Radziszewski	D
Gunnar Nelson	L
Artem Shokalo	W
Islam Gugov	L
Janybek Amatov	W
Gocha Smoyan	W
Ashot Shahinyan	W
Tomas Deak	W
Magomed Saadulaev	L
Ivan Zagubinoga	W
Zhanbolat Tlyubayev	W
Ali Bagov	W
Ramazan Abdulzhalilov	W
Pavel Kokarev	W
Bislan Etleshev	W
Marat Ilaev	W
Andrei Zubov	W
Anzor Kardanov	W
Gadji Zaipulaev	L
Andrey Sirotkin	W
Ruslan Bechaev	L
Shamil Abdulkerimov	L
Islam Nurmagomedov	W
Islam Mamedov	W
