Yusuf Raisov	D
Herdeson Batista	W
Shamil Nikaev	L
Eduard Vartanyan	L
Ramazan Esenbaev	W
Ustarmagomed Gadzhidaudov	L
Jorge Patino	W
Dmitry Bikrev	W
Murad Machaev	L
Leandro Rodrigues Pontes	W
Jesse Ronson	W
Marcin Held	L
Artak Nazaryan	W
Dakota Cochrane	W
Drew Brokenshire	W
Yukinari Tamura	W
Alexander Butenko	W
Will Brooks	L
Ricardo Tirloni	W
Marcus Davis	W
Atchin Chaoshen Ne	W
Thiago Michel	W
Tony Hervey	W
Rich Clementi	L
Maykel Becerra	W
Len Bentley	W
Sergio Cortez	W
Tomas Deak	W
Marcio Cesar	W
Douglas Evans	W
Beau Baker	W
Arsen Ubaidulaev	W
Victor Kuku	W
Aleksey Ershik	W
Karen Grigoryan	W
Maxim Kuptsov	W
Mamour Fall	W
Timur Daurenuly	W
Maratbek Kalabekov	W
Vladimir Simonyan	W
Kardash Fatakhov	W
Islam Mamedov	W
Andrei Koshkin	W
Rishat Gilmitdinov	W
