Curtis Blaydes	L
Greg Hardy	W
Derrick Lewis	L
Fabricio Werdum	W
Stefan Struve	W
Roy Nelson	W
Timothy Johnson	W
Attila Vegh	W
Denis Smoldarev	W
Cheick Kongo	L
Tony Johnson Jr.	L
Alexei Kudin	W
Roy Boughton	W
Blagoy Ivanov	W
Siala-Mou Siliga	W
Mark Holata	W
Vitaly Minakov	L
Richard Hale	W
Vinicius Queiroz	W
Brett Rogers	W
Stefan Stankovic	W
Ricco Rodriguez	W
Arsen Abdulkerimov	W
Bakhodir Ibragimov	W
Nedyalko Karadjov	W
Denis Goltsov	W
Ruslan Chapko	W
Pat Bennett	L
Evgeni Babich	W
Eldar Yagudin	W
Maxim Grishin	L
Alexander Romaschenko	W
Vitalii Yalovenko	W
Ibragim Magomedov	W
Smbat Zakaryan	W
Abdulhalik Magomedov	W
Akhmed Sultanov	L
Adam Alikhanov	W
Nikolay Pleshakov	W
