Lance Palmer	L
Peter Petties	W
Jumabieke Tuerxun	W
Steven Siler	L
Steven Siler	L
Lee Coville	W
Steven Rodriguez	L
Lance Palmer	L
Lance Palmer	W
Saul Almeida	W
Rafael Miranda	W
Luiz Antonio Lobo Gavinho	W
Leandro Paes	W
Fabiano da Conceicao	L
Talison Soares Costa	W
Sergio Soares	W
Fabiano Fernandes	L
Tiago Passos	W
Alberto Pantoja Luz	W
Bruno Dias	W
Daniel Aguiar	W
Wellynthon Noronha	W
Joao Paulo	W
Elifrank Cariolano	W
Orleans Smith	W
Renato Moicano	L
Marcos Rogerio Gadelha	W
Diego Muquinho	W
Rafael Moreira	W
Fabiano da Conceicao	L
Aires Neto	L
