Dan Moret	L
Rakhman Makhazhiev	L
Mike Plazola	W
Doug Jenkins	W
Travis Perzynski	L
Kevin Tjaden	W
Jarred Mercado	L
Salman Zhamaldaev	L
Cody Carrillo	W
Josh Huber	W
Charlie DuBray	W
Will Shutt	W
Estevan Payan	L
Mario Ramos	W
Charon Spain	W
Porfirio Alves Jr.	L
Ryan Bixler	W
Ted Worthington	W
Abel Trujillo	W
Aaron Derrow	W
Deryck Ripley	W
Rod Montoya	W
Lloyd Woodard	L
Travis Perzynski	W
Demi Deeds	W
Paul Bird	W
Ryan Williams	W
Victor Meza	W
Toby Imada	L
Joe Brammer	D
Yaotzin Meza	L
Brandon Melendez	W
Ted Worthington	W
Yves Edwards	L
Ryan Roberts	W
Waylon Lowe	W
Dustin Neace	W
John Owens	W
Vadim Ivanov	W
Mike Bogner	W
Luke Caudillo	W
Clay French	L
Alex Carter	W
Rocky Long	W
Luke Caudillo	L
Mike Schoech	W
Kendrick Johnson	W
Rob Marcks	W
Nathan Hardin	W
Brian Dunn	W
Alvin Robinson	L
Sean Huffman	W
Hector Munoz	L
Donnie Liles	L
Nick Dolucre	W
Joe Mabin	W
Clay Guida	L
Rob Marcks	W
Jake Hudson	W
Victor Moreno	L
Victor Moreno	L
Jason Ireland	L
Luke Caudillo	W
Demi Deeds	L
