Brett Cooper	L
Josh Neer	W
Paul Daley	L
James Terry	W
Ramil Mustapayev	W
Beslan Isaev	W
Ney Duarte dos Santos	W
Cassiano Ricardo Castanho de Freitas	W
Chad Reiner	W
Hernani Perpetuo	L
Sergio Souza	L
Moises dos Santos	W
Cassiano Ricardo Castanho de Freitas	L
Gil de Freitas	W
Julian Fabrin Soares	W
Edilberto de Oliveira	W
Ivan Jorge	W
Tiago Monaco Tosato	W
Jose Gomes	L
Mauro Chimento Jr.	L
Jucelino Ferreira	W
Alberto dos Santos	W
Mario Sartori	L
Gilmar Milhorance	W
Wendell Oliveira	L
Luis Melo Jr.	W
Rondinelli Rodrigues Gomes	W
Johnny Vigo	W
Mario Sartori	W
Carlos Alexandre Pereira	L
Pedro dos Santos	W
Felipe Arinelli	W
Vitor Pimenta	W
Antonio Silva	W
Gustavo Rosa	W
Leandro Silva	W
Dinarte Silva	W
Eduardo Pereira	W
Julio Cabral	W
Pedro Santos	W
Geno Vitale-Sansoti	W
Vinicius Bohrer	W
Iberico El Toro	W
Sergio Moraes	L
Rafael Freitas	W
Ismael de Jesus	W
Adriano Verdelli	W
Diego Castro	W
Emerson Ferreira	W
