Yusuf Raisov	L
Adam Aliev	W
Saul Rogers	L
Abner Lloveras	W
Leszek Krakowski	L
Akop Stepanyan	L
Colin Fletcher	W
Xavier Sedras	D
Artem Lobov	W
Stephen Martin	W
Jordan Miller	W
Jeremy Petley	W
Mateusz Gamrot	L
Drew Fickett	W
Rob Sinclair	L
Diego Gonzalez	W
Jason Ball	W
Anthony Njokuani	L
Dennis Siver	L
Nik Lentz	L
Rafaello Oliveira	W
Rolando Delgado	W
Ross Pearson	L
Abdul Mohamed	D
Bendy Casimir	L
Mario Stapel	W
A.J. Wenn	W
Daniel Thomas	W
Aidan Marron	W
Greg Loughran	L
Wesley Felix	W
Sami Berik	W
Paul Cooper	W
Jeff Lawson	W
Denas Banevicius	W
Gareth Dummer	W
