Philipe Lins	W
Jairzinho Rozenstruik	L
Ben Rothwell	W
Augusto Sakai	L
Walt Harris	D
Shamil Abdurakhimov	L
Tai Tuivasa	L
Stefan Struve	W
Junior Albini	W
Marcin Tybura	L
Francis Ngannou	L
Josh Barnett	L
Alistair Overeem	L
Stipe Miocic	L
Frank Mir	W
Travis Browne	W
Antonio Silva	W
Brendan Schaub	W
Andreas Kraniotakes	W
Mike Kyle	W
Anthony Johnson	L
Mike Hayes	W
Devin Cole	W
Tim Sylvia	D
Travis Fulton	W
Ray Lopez	W
Sergei Kharitonov	L
Antonio Silva	L
Brett Rogers	L
Fedor Emelianenko	L
Roy Nelson	W
Ben Rothwell	W
Jake O'Brien	W
Fabricio Werdum	W
Marcio Cruz	W
Tim Sylvia	L
Tim Sylvia	L
Paul Buentello	W
Justin Eilers	W
Tim Sylvia	W
Wesley Correira	W
Vladimir Matyushenko	W
Ian Freeman	W
Pedro Rizzo	L
Ricco Rodriguez	L
Aaron Brink	W
John Dixson	W
Michael Tielrooy	W
Roman Zentsov	W
Viacheslav Datsik	L
