Williams Sriyapai	W
Lewis Gonzalez	L
Lewis Gonzales	L
Shinya Aoki	L
Chad Dietmeyer	W
Brian Cobb	W
Jai Bradney	W
Jacob Volkmann	L
Luciano Azevedo	W
Rodrigo Ruiz	W
Carlo Prater	W
Derrick Noble	W
Delson Heleno	W
Mike Dolce	W
Rodrigo Ruas	W
Gabe Rivas	W
Ronald Jhun	W
Kiuma Kunioku	W
Joe Camacho	W
Akbarh Arreola	D
John Mahlow	W
Gregg Dalton	W
Marcus Aurelio	W
Karo Parisyan	L
Heath Sims	W
Steve Gomm	W
Toby Imada	W
Jason Black	D
Ray Cooper	L
David Harris	W
Victor Estrada	W
Charles Diaz	W
Edwin Dewees	W
Chris Brennan	L
Cheyanne Padeken	W
Paul Gardner	W
J.F. Bolduc	W
Shannon Ritch	W
