Damian Stasiak	W
Pawel Politylo	W
Sebastian Przybysz	W
Kamil Selwa	W
Pawel Politylo	W
Tobias Huber	W
Edgars Skrivers	L
Musa Kazikhanov	D
Vitaliy Branchuk	L
Alexey Nevzorov	W
Tural Ragimov	L
Lemmy Krusic	W
Janos Gonczi	W
Zoltan Turai	W
Jasmin Ilijas	W
Max Coga	L
Artak Nazaryan	W
Bojan Kosednar	W
Cristian Binda	W
Juha-Pekka Vainikainen	L
Salman Zhamaldaev	W
Artiom Damkovsky	L
Vugar Bakhshiev	W
Ivan Curak	W
Bojan Bilic	W
Alexey Nevzorov	L
Aleksandar Vickovic	W
Lemmy Krusic	W
Cristian Binda	L
Tomas Deak	W
Sreten Miletic	W
Tibor Hlada	W
Drazen Matejic	W
