Damir Ismagulov	L
Alexey Makhno	W
Maxim Divnich	W
Alexander Butenko	L
Heydar Mamedaliev	W
Said Khalilov	W
Victor Kuku	W
Zulfikar Usmanov	W
Mairbek Taisumov	L
Victor Kuku	W
Daniel Weichel	L
Ivica Truscek	W
Vaidas Valancius	W
Musa Khamanaev	L
Jose Figueroa	W
Antun Racic	W
Yuri Ivlev	L
Jose Figueroa	L
Mairbek Taisumov	W
Arsen Ubaidulaev	W
Arsen Ubaidulaev	W
Shamil Abdulkerimov	W
Martiros Grigoryan	W
Sergey Golyaev	L
Hiroyuki Abe	W
Maratbek Kalabekov	L
Alexander Kozyr	W
Andrey Reznik	W
Dmitry Beliy	W
Mikhail Malyutin	L
Anton Bestaev	W
Alexandr Sheludchenko	L
Vladimir Ermolaev	W
