Travis Fulton	W
Paul Byrne	W
Viktor Nemkov	L
Alexander Volkov	L
Goran Reljic	L
Emanuel Newton	L
Christian M'Pumbu	W
Travis Wiuff	W
Emanuel Newton	W
Zelg Galesic	W
Dan Spohn	W
Jonas Billstein	W
Grigor Aschugbabjan	W
Marcus Vanttinen	W
Baga Agaev	W
Hans Stringer	D
Simon Carlsen	L
Jevgenij Lapin	W
Egidijus Valavicius	W
Adlan Amagov	D
Daniel Tabera	L
Lukasz Skibski	W
Kristof Nataska	W
Boris Tonkovic	W
Aleksandar Radosavljevic	W
Igor Henc	W
Toni Valtonen	L
Arnoldas Joknys	W
Aslambek Saidov	W
Lubos Suda	W
Gustav Dietz	W
Lukasz Jurkowski	L
Sebastian Hercun	W
Markus Wagner	W
Lukas Turecek	W
Zsolt Zathureczky	W
Markus Di Gallo	W
Martin Wojcik	W
Matyas Levante	W
Matej Turcan	W
Matej Turcan	W
