Cole Miller	L
Diego Nunes	L
Hatsu Hioki	L
Tyson Griffin	W
Kamal Shalorus	L
Zachary Micklewright	W
Karen Darabedyan	W
Anthony Pettis	W
Tyler Combs	W
Anthony Njokuani	L
Ricardo Lamas	L
Alex Karalexis	W
Jeff Cox	W
Jim Miller	L
Chris Horodecki	L
Deividas Taurosevicius	L
Harris Sarmiento	W
John Strawn	W
John Gunderson	W
Chris Horodecki	L
Ryan Schultz	W
Ivan Menjivar	W
Marcio Feitosa	W
Steve Bruno	W
John Shackelford	W
Jay Ellis	W
Wayne Weems	W
Kyle Brees	W
Luke Spencer	W
Kyle Watson	W
Josh Koon	W
Clay Guida	L
Andrew Chappelle	W
Joe Jordan	W
	W
Luke Caudillo	W
Virgil Strzelecki	W
Gesias Cavalcante	L
Jay Estrada	W
Masayuki Okude	W
Kolo Koka	L
Komei Okada	W
Tim Newland	W
Mark Long	W
Jason Bender	W
Jay Estrada	W
Tom Kirk	W
Kendrick Johnson	W
Carlos Concha	W
Darrell Smith	L
Brian Szohr	L
Jim Bruketta	L
Cole Escovedo	L
