Matt Brown	L
Takashi Sato	L
Lyman Good	L
Sergio Moraes	L
Jake Ellenberger	W
Alan Jouban	L
Peter Sobotta	L
Court McGee	W
Jacob Volkmann	W
Patrick Cote	L
Kenny Robertson	W
Joe Riggs	W
Chris Heatherly	W
Douglas Lima	L
Raul Amaya	W
Koffi Adzitso	W
Brian Warren	W
Bryan Baker	L
Raul Amaya	W
Douglas Lima	L
Luis Santos	W
Chris Cisneros	W
Matt Lee	W
Elijah Harshbarger	W
Dennis Hallman	L
Jon Fitch	L
Marcus Davis	W
Mike Swick	L
Brandon Wolff	W
Ryan Thomas	W
Dan Barrera	W
Charles Blanchard	W
Kenny Stevens	W
Rick Delvecchio	W
Reggie Pena	W
Diego Visotzky	D
Crafton Wallace	D
