Zak Bucia	L
Lance Benoist	L
William Macario	L
Robbie Lawler	L
Patrick Cote	L
Roger Bowling	W
Roger Bowling	W
Cory Devela	W
Roger Bowling	L
Erik Apple	W
Brendan Seguin	L
Tom Aaron	W
Dominic Brown	W
CJ Fernandes	W
Jacob Volkmann	L
Amir Rahnavardi	W
Dominic Brown	W
Ryan Braun	W
Kevin Burns	L
Nathan Looker	W
Joey Gorczynski	L
Matt Delanoit	W
Leonardo Pecanha	L
David Anderson	W
Warren Walker	W
Victor Moreno	W
Ken Jackson	W
Ted Worthington	W
Jody Lithicum	W
Clayton Marrs	W
Jack Hodge	W
Justin Wilcox	L
Brian Green	W
Johnathan Richmond	W
Victor Moreno	L
Kyle Bradley	W
Demi Deeds	W
