Joao Zeferino	L
Handesson Ferreira	L
Abubakar Nurmagomedov	D
Magomed Magomedkerimov	L
Magomed Magomedkerimov	L
Jonatan Westin	W
Jake Matthews	L
Darren Till	L
Nico Musoke	W
Sultan Aliev	L
Michael Graves	D
Alessio Di Chirico	W
Benjamin Smith	W
Vardan Sholinian	W
Charles Byrd	W
Chris Hugh	W
Gilbert Smith	L
Nikolay Aleksakhin	W
Krzysztof Jotko	L
Tomas Kuzela	W
Jiri Prochazka	W
Svetlozar Savov	L
Marko Lukacic	W
Jason Lee	W
Nemanja Uveric	W
Svetislav Nikolajev	W
Marko Ignjatovic	W
Vladimir Jovanovic	W
