Raphael Pessoa	L
Bjoern Schmiedeberg	L
Tyler East	W
Travis Wiuff	W
Mike Whitehead	W
Adam Kope	W
Danyelle Williams	L
Travis Wiuff	L
Timothy Johnson	L
Davonta Nunn	W
Shane DeZee	W
Chris Latozke	W
Brett Murphy	L
Andrew Gordon	W
Cameron Befort	W
Sean McCorkle	W
Jason Walraven	L
Richard White	W
Tyler East	L
Carmelo Marrero	L
Chris Clark	W
Sherman Pendergarst	W
Ron Miller	W
Steven Banks	W
Tony Kelly	W
Josh Hendricks	L
Randy Quest	W
Chester Post	W
Sherman Pendergarst	L
Otis Funk	W
Rodney Housley	W
Boban Simic	W
Justin Grizzard	W
Antoine Hayes	W
Ron Humphrey	L
John Brown	W
Tony Kelly	W
Demian Decorah	W
Joel Castro	W
Karl Knothe	W
Brett Rogers	L
Dan Severn	L
Mark Racine	W
Joel Castro	L
Garrett Thompson	L
Matt Friesen	L
Taylor Lovrein	W
