Travis Coyle	W
Derrick Krantz	L
Kyle Olsen	W
Eddie Larrea	W
Cody McKenzie	W
Joe Ray	W
Roan Carneiro	L
Nobutatsu Suzuki	L
Melvin Manhoef	W
Eduardo Pamplona	W
Anthony Lemon	W
Lucas St. Clair	W
Antonio Braga Neto	L
Eric DaVila	L
Gabe Walbridge	W
Tarec Saffiedine	L
Eddie Larrea	W
Nick Almen	W
Brian Green	W
Brian Foster	L
Mike Pierce	L
Mike Pyle	W
Jesse Sanders	W
Carlo Prater	W
John Alessio	W
Troy Allison	W
Carlos Condit	L
Kevin Knabjian	W
Erik Apple	W
Keita Nakamura	W
Edward O'Daniel	W
Manuel Quiroz	W
Alex Carter	W
Kenneth Allen	W
Ray Perales	W
Shannon Ritch	W
Jon Fitch	L
Ryan Jensen	W
Ryan McGivern	W
DaMarques Johnson	W
Miguel Cooley	W
Stephan Potvin	W
Darin Brudigan	W
Mark Smolinski	W
Miguel Cooley	W
Nick Beasley	W
James Fuller	W
Alex Gasson	W
Brian Maceachern	W
Kyle Olsen	W
Luke Caudillo	W
Josh Hartwell	W
