Pedro Gonzalez	L
Magomed Ginazov	L
Magomed Magomedov	L
Marcos Kagawa	W
Tiago Amaro	W
Amauricio Galvao Pinheiro	W
Alexandre Bezerra	L
Irmeson Cavalcante de Oliveira	L
Atila Lourenco	W
Thiago Sampaio	W
Leandro Paes	W
Guilherme Miranda	L
Alexandre Almeida	L
Francisco Cylderlan Lima da Silva	L
Michel Igenho	W
Laercio Ribeiro	W
Jonathan Nogueira	W
Eder Soares	W
Vinicius Zani	W
Claudio Marcelino	L
Jonatas Bernardo	W
Fernando dos Santos Silva	W
Marcio Sapo	W
Larry Vargas	W
Johnny Eduardo	L
Marlon Medeiros	D
Eduardo Alves	W
Osmar da Silva	W
Wesley Souza	W
Fabio da Silva	W
