Rashid Magomedov	D	Decision - Unanimous (Draw)	2
Robert Watley	W	Decision - Unanimous	3
Luiz Firmino	W	Decision - Unanimous	3
Nik Lentz	L	Submission	2
Charles Oliveira	L	Submission	1
Alex Oliveira	L	KO/TKO	3
Ross Pearson	W	Decision - Unanimous	3
Marcin Held	W	Decision - Unanimous	5
Dave Jansen	W	Decision - Unanimous	5
Michael Chandler	W	TKO	4
Michael Chandler	W	Decision - Split	5
Alexander Sarnavskiy	W	Unanimous Decision	3
Saad Awad	W	Decision - Unanimous	3
John Alessio	W	Unanimous Decision	3
Cris Leyva	W	KO/TKO	3
Saad Awad	L	KO	1
Ricardo Tirloni	W	Unanimous Decision	3
Satoru Kitaoka	W	KO/TKO	2
Drew Dober	W	Decision - Unanimous	3
Taurean Bogguess	W	TKO (Punches)	1
Ryan Bixler	W	Submission (Rear Naked Choke)	2
Joe Richardson	W	Submission (Armbar)	1
Bobby Reardanz	W	Submission (Armbar)	3
Guillermo Serment	W	Submission (Rear Naked Choke)	2
J.R. Hines	W	TKO (Punches)	1
