Alan Patrick	W
Lando Vannata	W
Clay Guida	W
Francisco Trinaldo	L
Drakkar Klose	L
Erik Koch	W
Lando Vannata	D
Rashid Magomedov	L
Dustin Poirier	L
Edson Barboza	L
Josh Thomson	W
Pat Healy	W
James Krause	W
Jacob Volkmann	W
Matt Ricehouse	W
James Terry	W
James Reese	W
Charon Spain	W
Gesias Cavalcante	L
Dom O'Grady	W
Tim Means	L
Daron Cruickshank	W
Ricky Legere Jr.	W
Charles Bennett	W
David Mitchell	L
Sevak Magakian	W
Jeff Torch	W
John Ulloa	W
Dan Lauzon	L
Toby Grear	W
Rafael Salomao	W
Israel Giron	W
Santiago Manzanares	W
Raymond Ayala	W
Herman Terrado	W
Josh Gaskins	L
Henry Briones	W
Neal Abrams	W
