Marlon Vera	L
Urijah Faber	L
Iuri Alcantara	L
Francisco Rivera	W
Thomas Almeida	L
Chico Camus	L
Ian McCall	L
Neil Seery	W
Michael McDonald	L
Mike Easton	W
Eddie Wineland	L
Yves Jabouin	W
Damacio Page	W
Renan Barao	L
Ivan Menjivar	W
Scott Jorgensen	L
Demetrious Johnson	W
Kyle Dietz	W
David Lee	W
Dino Gambatesa	W
Antanas Jazbutis	W
Cristian Binda	W
Paul Reed	W
Frederic Fernandez	W
Vaughan Lee	W
Hideo Tokoro	L
Alex Owen	L
JR Sims	W
Phil Raeburn	W
Bret Lee	W
John Trent	W
Robbie Olivier	L
Hiroyuki Abe	W
Robbie Olivier	W
Ozzy Haluk	W
Jordan Miller	W
Aaron Blackwell	W
Chris Freeborn	L
Stuart Grant	W
