Juan Torres	W
Kenyon Jackson	W
Hayward Charles	L
Kenyon Jackson	W
Edgar Verdin	W
Marvin Babe	W
Emiliano Sordi	L
Ron Fields	W
Matt Jones	W
Sean Strickland	L
Brad Tavares	L
Gilbert Smith	W
Keith Cunagin	W
Eric Schambari	W
Johnny Rees	W
Kyacey Uscola	W
Rob Wince	W
Nikolaos Boscarino	W
Lucas Lopes	L
Billy Horne	W
William Spicer	W
Alexander Shlemenko	L
Kala Hose	W
Alex Cisne	W
Tom Jones	L
Dan Molina	L
Blake Norsworthy	W
Mike Queen	W
Cody Malicott	W
Craig Cobb	W
Gerald Harris	L
Nick Budig	W
Jeff McConnell	W
Brandon McDowell	W
Allan McGuire	W
Roger Kimes	W
Horace Spencer	L
York Ash	W
