Shigeki Osawa	L
Yoshifumi Nakamura	L
Raja Shippen	W
Taiki Tsuchiya	W
Jesse Brock	W
Daniel Romero	W
Anthony Avila	W
Kyu Hwa Kim	W
Shintaro Ishiwatari	L
Takeshi Inoue	L
Akiyo Nishiura	W
Kazuyuki Miyata	L
Gleison Tibau	L
Fabricio Camoes	D
Spencer Fisher	L
Shinya Aoki	L
Mitsuhiro Ishida	W
Andre Amado	L
Katsuhiko Nagata	W
Ali Ibrahim	W
Gesias Cavalcante	L
Ivan Menjivar	W
Kultar Gill	W
Ole Laursen	W
Rich Clementi	W
Norifumi Yamamoto	L
Hideo Tokoro	W
Joachim Hansen	L
Serkan Yilmaz	W
Chandet Sorpantrey	W
Tatsuya Kawajiri	D
Hermes Franca	L
BJ Penn	D
Din Thomas	W
Yves Edwards	W
BJ Penn	L
Fabiano Iha	W
Jens Pulver	L
Rumina Sato	W
Marcio Barbosa	L
Dennis Hallman	W
Andre Pederneiras	D
Din Thomas	W
Rumina Sato	W
Ricardo Botelho	W
Zvonko Jakovcevic	W
Ian James Schaffa	W
Yuji Fujita	W
Naoya Uematsu	L
Hiroki Kotani	W
Masahito Wachi	W
Takuya Kuwabara	D
Yuzo Tateishi	W
Patrick Tapels	W
Hayato Sakurai	L
