Michael Chiesa	L
Alex Oliveira	L
Neil Magny	L
Demian Maia	L
Robbie Lawler	L
Thiago Alves	W
Tyron Woodley	L
Martin Kampmann	W
Johny Hendricks	L
Georges St-Pierre	L
Nick Diaz	W
Dong Hyun Kim	W
Dan Hardy	W
Rory MacDonald	W
Jake Ellenberger	W
Martin Kampmann	L
Hiromitsu Miura	W
Carlo Prater	W
Brock Larson	W
John Alessio	W
Kyle Jensen	W
Tatsunori Tanaka	W
Takuya Wada	W
Koji Oishi	W
Pat Healy	L
Jake Shields	L
Frank Trigg	W
Renato Verissimo	W
Ross Ebanez	W
Satoru Kitaoka	L
Isidro Gonzalez	W
Masaki Tuchhi	W
Randy Hauer	W
Will Bradford	W
Carlo Prater	L
Brandon Melendez	W
Jarvis Brennaman	W
Brad Gumm	W
David Lindemeyer	W
Tyrell McElroy	W
Antonio Zamora	W
Tommy Gouge	W
Nick Roscorla	W
