Trevor Smith	L
Daniel Kelly	L
Thales Leites	L
Vitor Miranda	W
Joe Riggs	W
Tom Watson	W
Jacare Souza	L
Jeremy Kimball	W
Rafael Natal	L
Bruno Santos	L
Lorenz Larkin	L
Jacare Souza	L
Nick Ring	W
Luiz Cane	W
Nick Catone	W
Dustin Jacoby	W
Francis Carmont	L
Joey Villasenor	W
Kyle Noke	L
Dongi Yang	W
James Hammortree	W
Chad Reiner	W
Darin Brudigan	W
Jesse Taylor	L
Victor Moreno	W
Elliot Duff	W
Nick Rossborough	L
Dwayne Lewis	W
Jesse Forbes	L
Donnie Liles	W
Tony Barker	W
Aaron Truxell	W
Spencer Hooker	W
Joe Serna	W
Gary Borum	W
Damon Clark	W
