Dan Hardy	W
Brian Ebersole	L
Matt Serra	W
Matt Brown	W
Brian Foster	W
Kevin Burns	W
Marcus Davis	L
Paul Taylor	W
Josh Koscheck	L
Kyle Bradley	W
Thiago Alves	L
Matt Brown	W
Jason Gilliam	W
Matt Hughes	L
Matt Serra	L
Ross Mason	W
Trenell Young	W
Trenell Young	W
Joe Riggs	L
Brian Dunn	W
Pat Healy	W
Karo Parisyan	L
J.T. Taylor	W
Ronald Jhun	W
Tiki Ghosn	W
Pete Spratt	W
Robbie Lawler	L
Derrick Noble	W
Chatt Lavender	W
LaVerne Clark	W
Koji Oishi	L
Aaron Riley	W
Izuru Takeuchi	L
Yuji Hoshino	W
Nick Diaz	L
Kazuo Misaki	W
Jake Ambrose	W
Dave Strasser	L
Nick Hide	L
Mike Haltom	W
Beaver Beaver	W
Ben Earwood	L
Shonie Carter	L
Taro Obata	W
Daisuke Ishii	L
CJ Fernandes	W
Keiichiro Yamamiya	L
Ikuhisa Minowa	L
Dave Menne	L
Luke Pedigo	W
Takafumi Ito	L
Jason DeLucia	L
Daisuke Watanabe	W
Osami Shibuya	L
Bo Hershberger	W
