Kron Gracie	W
Shane Burgos	L
Renato Moicano	L
Frankie Edgar	L
Brian Ortega	L
Artem Lobov	W
Dooho Choi	W
Tatsuya Kawajiri	W
Hacran Dias	W
Max Holloway	L
Frankie Edgar	L
Jeremy Stephens	W
Dennis Siver	W
Dustin Poirier	W
Charles Oliveira	W
Ross Pearson	W
George Roop	W
Ricardo Lamas	L
Mackens Semerzier	W
Chad Mendes	L
John Franchi	W
Jose Aldo	L
Hiroyuki Takaya	W
Donny Walker	W
Jens Pulver	L
Micah Miller	W
Tommy Lee	W
Chuck Kim	W
Charlie Valencia	W
Richard Montano	W
Shannon Gugerty	W
Fernando Arreola	W
Mike Corey	W
Armando Sanchez	W
Martin Bautista	W
Joe Morales	W
Shannon Gugerty	L
