Alexa Conners	L
Jessica-Rose Clark	L
Kalindra Faria	L
Sarah Alpar	W
Marciea Allen	L
Elaine Albuquerque	L
Giselle Campos	W
Daiane Firmino	W
Roberta Pereira da Silva Gomes	W
Yelka Torres Gallegos	W
Kalindra Faria	L
Jessica Eye	L
Tonya Evinger	L
Munah Holland	L
Tara LaRosa	L
Cat Zingano	L
Hitomi Akano	L
Aline Serio	W
Jessica Suelem Doelle	W
Deize Mayelem de Lima Araujo	W
Vanessa Maguila	W
Dayana Silva	W
Kalindra Faria	W
Sheila Carvalho Santos	W
Ana Maria	W
Ana Maria	W
Lashonda Knox	W
Sofia Bagherdai	W
Jessica Aguilar	W
Rosi Sexton	L
Molly Helsel	W
Miku Matsumoto	L
Miku Matsumoto	W
Maria Naja	W
Luane Taise	W
Vanessa Porto	W
Iris Lopes	W
Ana Michelle Tavares	L
