Kevin Lee	W
Jared Gordon	W
Nik Lentz	W
David Teymur	W
Jim Miller	W
Christos Giagos	W
Clay Guida	W
Paul Felder	L
Will Brooks	W
Ricardo Lamas	L
Anthony Pettis	L
Myles Jury	W
Max Holloway	L
Nik Lentz	W
Jeremy Stephens	W
Hatsu Hioki	W
Andy Ogle	W
Frankie Edgar	L
Cub Swanson	L
Jonathan Brookins	W
Eric Wisely	W
Donald Cerrone	L
Nik Lentz	D
Jim Miller	L
Efrain Escudero	W
Darren Elkins	W
Diego Bataglia	W
Rosenildo Rocha	W
Eduardo Pachu	W
Alexandre Bezerra	W
Dom Stanco	W
Carlos Soares	W
Elieni Silva	W
Daniel Fernandes	W
Mehdi Baghdad	W
Diego Braga	W
Viscardi Andrade	W
Jackson Pontes	W
