Ryan Bader	D
Vitaly Minakov	W
Timothy Johnson	W
Javy Ayala	W
Augusto Sakai	W
Oli Thompson	W
Tony Johnson Jr.	W
Vinicius Queiroz	W
Alexander Volkov	W
Muhammed Lawal	L
Lavar Johnson	W
Eric Smith	W
Vitaly Minakov	L
Peter Graham	W
Mark Godbeer	W
Roy Nelson	L
Shawn Jordan	W
Mark Hunt	L
Matt Mitrione	W
Pat Barry	W
Travis Browne	D
Paul Buentello	W
Frank Mir	L
Cain Velasquez	L
Antoni Hardonk	W
Mostapha Al-Turk	W
Dan Evensen	W
Heath Herring	L
Mirko Filipovic	W
Assuerio Silva	W
Carmelo Marrero	L
Christian Wellisch	W
Gilbert Aldana	W
Dave Dalgliesh	W
Gabor Nemeth	W
Gilbert Yvel	L
Joop Kasteel	W
Dave Vader	W
Hans Nijman	W
Michael Knaap	D
Rodney Glunder	L
Dave Van der Veen	W
Andre Tete	W
