Albert Tumenov	L
Beslan Isaev	W
Dakota Cochrane	L
David Michaud	W
Edilberto de Oliveira	W
Antonio Domingos	W
Eric Barbosa	L
Diogo Cavalcanti	W
Israelsson Severo	W
Lucio Abreu	W
Fabricio Oliveira	W
Higo Volverine	W
Michel Silva	L
Eric Barbosa	L
Alldyr Pe	W
Clovis Barbosa de Souza	W
Rodrigo Borela	W
Anderson de Queiroz Diniz	L
Neilson Gomes	L
Alexandre Cordeiro	W
Ricardo Eduardo Lins	W
Rivanio Regiz	L
Ermesson Silveira Queiroz	W
Luiz Kennedy	W
Valdines Silva	W
Tyson Tyson	W
Jaja Jaja	W
Ermesson Silveira Queiroz	W
Alessandro Cabeca	W
Vadizal Apocalipse	D
Emerson Pitbull	W
