Amir Sadollah	W
Duane Ludwig	W
Chris Lytle	L
Anthony Johnson	L
Carlos Condit	L
Georges St-Pierre	L
Mike Swick	W
Marcus Davis	W
Rory Markham	W
Akihiro Gono	W
Daniel Weichel	W
Chad Reiner	W
Manuel Garcia	W
Yoshiyuki Yoshida	L
Hidetaka Monma	W
Daizo Ishige	W
Willy Ni	W
Alexandre Izidro	W
Danny Rushton	W
David Baron	L
Forrest Petz	L
Diego Gonzalez	W
Matt Thorpe	W
Sami Berik	W
Lautaro Arborelo	W
Alexandre Izidro	W
Stuart Barrs	W
David Baron	L
Andy Walker	W
Lee Doski	W
Aaron Barrow	W
Pat Healy	L
Andy Melia	W
Paul Jenkins	W
Lee Doski	L
