Saul Rogers	W
Goiti Yamauchi	L
Patricio Freire	L
John Teixeira	W
Brian Moore	W
Emmanuel Sanchez	W
Georgi Karakhanyan	W
Patricio Freire	L
Pat Curran	W
Desmond Green	W
Matt Bessette	W
Scott Cleve	W
Artiom Damkovsky	W
Georgi Stoyanov	W
Semen Tyrlya	W
Musa Khamanaev	L
Jose Figueroa	W
Beau Baker	W
Frodo Khasbulaev	W
Yuri Ivlev	W
Avtandil Shoshiashvili	W
Rob Sinclair	L
Victor Kuku	W
Ivan Musardo	W
Danial Sharifi	W
Jimmy Sidoni	W
Fatih Dogan	W
Peter Irving	L
Dan Hardy	L
Ian Jones	W
Jason Jones	L
Chas Jacquier	W
Faith Balci	W
Paul Daley	L
Amir Lekaj	W
Marcelo Lopez	W
Hugo Blatter	W
Josenildo Ramalho	W
Dennis Siver	W
Thiago Tavares	L
Johan Antonsson	W
Boris Jonstomp	W
Mike Lucero	W
Joakim Engberg	W
Abdul Mohamed	W
Gaz Roriston	W
Mattias Awad	L
Malte Janssen	W
Masaya Takita	W
Eduardo Guimaraes	W
Vincent Latoel	W
