Nate Landwehr	L
Ryan Hall	L
Ricardo Lamas	L
Alexander Volkanovski	L
Michael Johnson	W
Dennis Bermudez	W
Mirsad Bektic	W
Godofredo Pepey	W
Chas Skelly	W
Robert Whiteford	W
Hacran Dias	L
Lucas Martins	W
Jeremy Stephens	L
Hatsu Hioki	W
Chad Mendes	L
Antonio Carvalho	W
Steven Siler	W
Diego Brandao	W
Tiequan Zhang	W
Michihiro Omigawa	W
Charles Oliveira	L
Duane Ludwig	W
Gideon Ray	W
Bryan Neville	W
Ted Worthington	L
Danny Rodriguez	W
Pat Curran	W
Kenny Klein	W
Decarlo Johnson	W
Atsuhiro Tsuboi	W
Adam Brady	W
Daniel Wanderley	W
Matt Joseph	W
Jeremy Markam	W
