Dwayne Lewis	L
Mike Kent	W
Caleb Grummet	W
Chris McNally	W
Leopoldo Serao	W
Mario Miranda	L
Chester Post	W
Ed Herman	L
Solomon Hutcherson	W
Andrew Buckland	W
Todd Gouwenberg	W
Jason Day	L
Freddie Espiricueta	W
Joey Villasenor	L
Mike Swick	L
Rich Franklin	L
Evan Tanner	W
Charles McCarthy	W
Gideon Ray	W
Curtis Stout	W
Chris Fontaine	W
Jeremy Horn	L
Jorge Rivera	L
Mark Weir	W
Tony Fryklund	W
Jesse Jones	W
Claudionor Fontinelle	W
Joe Doerksen	W
Anis Abdelli	W
Shawn Tompkins	W
Jason St. Louis	L
Steve Vigneault	W
Justin Bruckmann	W
Justin Bruckmann	L
