Adriano Moraes	D
Danny Kingad	W
Tatsumitsu Wada	W
Yuya Wakamatsu	W
Henry Cejudo	L
Ray Borg	W
Wilson Reis	W
Tim Elliott	W
Henry Cejudo	W
John Dodson	W
Kyoji Horiguchi	W
Chris Cariaso	W
Ali Bagautinov	W
Joseph Benavidez	W
John Moraga	W
John Dodson	W
Joseph Benavidez	W
Ian McCall	W
Ian McCall	D
Dominick Cruz	L
Miguel Torres	W
Norifumi Yamamoto	W
Damacio Page	W
Nick Pace	W
Brad Pickett	L
Jesse Brock	W
Frankie Mendez	W
Louis Contreras	W
Forrest Seabourn	W
Jose Garza	W
Louis Contreras	W
Eric Alvarez	W
Jeff Bourgeois	W
Pedro Mercado	W
Brandon Fieds	W
