Charles Jourdain	W
Ross Pearson	W
Mairbek Taisumov	L
Gleison Tibau	W
Michel Prazeres	L
Rustam Khabilov	L
Josh Emmett	W
Martin Brown	W
James Freeman	W
Desmond Hill	W
David Cubas	W
Andre Harrison	L
Vincent Eazelle	W
Kurt Holobaugh	L
Steven Siler	W
Miguel Torres	W
Daniel Weichel	L
Will Martinez Jr.	W
Mike Richman	W
Angelo Sanchez	W
Fabricio Guerreiro	L
Henry Martinez	W
John Ortolani	W
Gemiyale Adkins	W
Rory McDonell	L
Brandon Fleming	W
Matt DiMaracantonio	W
Bruce Boyington	W
Ryan Peterson	W
Phillip LeGrand	W
Rob Font	W
