Yusuke Yachi	L
Corneliu Rotaru Lascar	W
Michel Ersoy	W
Radu Mihaita	W
Rasul Mirzaev	L
Joachim Hansen	W
Matt Bessette	L
Patricio Freire	L
Nik Lentz	L
Bart Palaszewski	W
Dennis Siver	L
Manvel Gamburyan	W
Kenny Florian	L
Mike Brown	W
Tyler Toner	W
Raphael Assuncao	W
L.C. Davis	L
Rafael Dias	W
Cole Province	W
Marcelo Franca	W
Henrique Mello	W
Luciano Dos Santos	W
Jetron Amaral	W
Piri Piri	W
Einstein Santana	W
Jorge dos Santos Velho	W
Giovani Diniz	W
Lindomar Silva	W
Michel Michel	W
Jorge dos Santos Velho	W
