Che Mills	L
Dan Hardy	L
Josh Neer	L
Amir Sadollah	W
Nick Osipczak	W
Darren Elkins	L
Jim Miller	L
Ryan Roberts	W
Lyle Beerbohm	L
Yves Edwards	W
Sammy Morgan	W
Sammy Morgan	W
Takanori Gomi	L
Mario Stapel	W
Paul Daley	L
Shinya Kumazawa	W
Tony Fryklund	W
Josh Thomson	L
Tyson Griffin	L
Jason Palacios	W
Toshikatsu Harada	W
Jonathan Goulet	W
Sammy Morgan	L
BJ Penn	L
Genki Sudo	W
Jens Pulver	W
Thomas Denny	W
Ressen Messer	W
Charles Bennett	W
Cesar Moreno	W
Eric Payne	L
Kelly Dullanty	L
Shad Smith	W
Jason Maxwell	W
Earl Littlepage	W
David Ibarra	W
