Alex Rozman	W
Lee Beane	L
Ryan Fortin	L
Aaron Garcia	W
Cal Worsham	W
Scott Fraser	W
William Hatch	W
Tom Benesocky	W
Chad Olmstead	W
Sam Flood	W
Buddie Dixon	W
Eddie Trotter	W
Woody Young	W
Steve Eakins	W
William Richey	L
Pavel Botka	L
Damon Clark	W
Colin Robinson	W
Ian Asham	W
Don Richards	W
Jimmy Westfall	W
Mark Smith	W
Victor Vincelette	W
Terrell Pree	W
Jason Keith	W
Kasey Geyer	W
Clifford Coon	W
Dave Legeno	L
Wade Hamilton	W
Chris Clark	W
Brian Heden	W
Skip Hall	W
Lanny Griffin	W
Robert Berry	W
Victor Vincelette	W
Joop Kasteel	L
Tyson Smith	W
Victor Valimaki	L
Rick Collup	W
Shannon Ritch	W
Shannon Ritch	W
Robert Stines	L
Cal Worsham	W
Lee Mein	W
James Thompson	L
Chad Rafdel	W
Hidetada Irie	W
Ruben Villareal	W
Greg Lockhart	W
Johnathan Ivey	W
Tony Bonello	L
Ulysses Castro	L
Jerry Vrbanovic	D
Seth Petruzelli	L
Ray Seraile	W
Mathias Hughes	W
Homer Moore	D
Gary Dudley	W
Dan Christison	W
Shane Moore	W
Cory Timmerman	W
Ulysses Castro	L
Pat Stano	D
Mike Ward	W
Justin Eilers	W
Mark Smith	W
Dan Christison	W
John Jensen	W
Steve Sayegh	W
Forrest Griffin	W
Travis Fulton	D
Lenn Walker	W
Travis Fulton	W
Wes Sims	W
Harry Moskowitz	W
Jonathan Wiezorek	L
Aaron Keeney	W
Travis Fulton	W
Pedro Rizzo	L
Andrei Kopylov	W
John Dixson	W
Ron Rumpf	W
Robert Stines	W
Marcus Silveira	W
Bart Vale	W
Josh Barnett	L
Mark Jaquith	W
Phil Ortiz	W
David Ferguson	W
Nick Starks	W
Brad Kohler	W
Slade Martin	W
Ross Quam	W
Kevin Rosier	W
Joe Frailey	W
Pat Miletich	D
Chris Franco	W
Sam Adkins	W
Steve Miller	W
Kimo Leopoldo	D
John Renfroe	W
John Dixson	W
Lance Gibson	W
Paul Buentello	W
John Calvo	W
Ebenezer Fontes Braga	W
Jeremy Horn	D
Travis Fulton	W
Kevin Rosier	W
John Renfroe	W
Mark Coleman	L
Steven Goss	W
Mitsuhiro Matsunaga	W
Mario Neto	W
Dennis Reed	W
Doug Muphy	W
Ken Shamrock	W
Paul Varelans	W
David Abbott	W
Oleg Taktarov	W
Ken Shamrock	L
Joe Charles	W
Dave Beneteau	W
Oleg Taktarov	W
Marcus Bossett	W
Anthony Macias	W
Royce Gracie	L
