Herbert Burns	W
Jeremy Kennedy	D
Movlid Khaybulaev	D
Rey Trujillo	W
Elias Rodriguez	W
Dimitre Ivy	W
Josh Davila	W
Georgi Karakhanyan	L
Mark Dickman	W
Emmanuel Sanchez	L
Jonny Carson	W
Thomas Webb	W
Leonard Garcia	W
Robert Whiteford	L
Diego Brandao	L
Justin Lawrence	W
Antonio Carvalho	L
Mike Brown	L
Mackens Semerzier	W
Pat Schilling	W
Gilbert Jimenez	W
Frank Gomez	W
Ray Blodgett	W
Levi Forrest	W
Rey Trujillo	W
Chas Skelly	L
James King	W
Douglas Frey	W
Chas Skelly	L
Johnny Bedford	L
Kyle Miers	L
Roberto Vargas	L
Johnny Bedford	W
Ira Evanson	W
Scott Bear	L
Vince Libardi	W
John Alvarez	W
Warren Stewart	W
Jae Suk Lim	L
Kierre Gooch	W
Warren Stewart	W
Jeremy Mahon	W
