Derek Campos	L
Shane Kruchten	W
Emmanuel Sanchez	L
Patricio Freire	L
Patricio Freire	W
Henry Corrales	W
Patricio Freire	L
Justin Wilcox	W
Pat Curran	L
Pat Curran	W
Alvin Robinson	W
Marlon Sandro	W
Mike Corey	W
Jeremy Spoon	W
Jason Dent	W
Patricio Freire	L
Kenny Foster	W
Nazareno Malegarie	W
Karen Darabedyan	W
Joe Pearson	W
Chad Hinton	W
Travis Perzynski	W
Frank Caraballo	W
Gideon Ray	W
Joe Heiland	W
Patrick Ferm	W
Tim Troxell	W
Mitch Lyons	W
Pat Curran	L
Mike Baskis	W
Lester Caslow	L
Tim Cook	W
Scott Bickerstaff	L
David Silva	W
Jay Ellis	L
