Goiti Yamauchi	L
Tofiq Musayev	L
Damien Brown	L
Diego Brandao	W
Diego Brandao	D
Tom Santos	W
Koshi Matsumoto	W
Yusuke Yachi	L
Satoru Kitaoka	L
Andy Souwer	W
Shinji Sasaki	W
Paul Felder	L
James Krause	L
Beneil Dariush	L
KJ Noons	D
Anthony Njokuani	W
Jorge Masvidal	L
Erik Koch	W
Mike Rio	W
Adriano Martins	L
Yves Edwards	W
John Makdessi	L
Henry Martinez	W
Chris Tickle	W
Jesse Gross	W
Mike Ricci	W
Brad Cardinal	W
Tiawan Howard	W
Luis Palomino	L
Anthony Smith	W
Bobby Green	L
Jason Holmes	W
Raul Mandez	W
Dominic Deshazor	W
Brett Biederman	W
Ricky Stettner	W
