Grant Dawson	L
Charlie DuBray	W
Terrance McKinney	W
Herbert Burns	L
Clay Collard	W
Kevin Croom	L
Joey Munoz	W
Jordan Griffin	L
Chuka Willis	W
Fernando Padilla	L
Will Shutt	W
Justin Overton	W
Chico Camus	L
Zakk Smith	W
Bill Kamery	W
Jesse Arnett	L
Brandon Ball	W
Matt Brown	W
Erik Vo	W
Marvin Blumer	W
Shaine Moffitt	W
Jordan Hernandez	W
Luke Sanders	L
Tony Crowder	W
Austin Lyons	W
John DeVall	L
William Osborne	W
Robert Flaherty	W
Chad Obermiller	L
Justin Morrison	W
Adem Mujakic	W
Hector Velez	W
DeAndrew Jones	W
James Smith	W
Dominic Blanco	L
