Gilbert Burns	L
Ben Askren	W
Anthony Rocco Martin	W
Lyman Good	W
Kamaru Usman	L
Colby Covington	L
Tyron Woodley	L
Jorge Masvidal	W
Carlos Condit	W
Matt Brown	W
Gunnar Nelson	W
Neil Magny	W
Ryan LaFlare	W
Alexander Yakovlev	W
Rory MacDonald	L
Jake Shields	L
Jon Fitch	W
Rick Story	W
Dong Hyun Kim	W
Chris Weidman	L
Jorge Santiago	W
Mark Munoz	L
Kendall Grove	W
Mario Miranda	W
Anderson Silva	L
Dan Miller	W
Nate Marquardt	L
Chael Sonnen	W
Nate Quarry	W
Jason MacDonald	W
Ed Herman	W
Ryan Jensen	W
Ryan Stout	W
Fabio Nascimento	W
Gustavo Machado	W
Vitelmo Kubis Bandeira	W
Lukasz Chlewicki	W
Raul Sosa	W
