Satoshi Ishii	W
Ali Isaev	L
Kelvin Tiller	W
Jared Rosholt	W
Ednaldo Oliveira	W
Atanas Djambazov	W
Chase Gormley	W
Mukhomad Vakhaev	L
Salimgirey Rasulov	W
Paul Buentello	W
Mike Kyle	W
John Hawk	W
James McSweeney	W
Peter Graham	W
Zoumana Cisse	W
Brett Rogers	W
Roy Boughton	W
Ivo Skopljak	W
Szymon Bajor	W
Dritan Barjamaj	W
Tadas Rimkevicius	W
Yuri Gorbenko	W
Akhmed Sultanov	L
Konstantin Erokhin	W
Teymur Aslanov	W
Alexander Volkov	L
Dmitry Poberezhets	L
Ilya Dzhadugishvili	W
Ibragim Ibragimov	L
Marat Aliaskhabov	W
Igor Kukurudziak	W
