Song Kenan	L
Vicente Luque	L
Justin Patterson	W
Hayward Charles	W
Kassius Kayne	W
Artenas Young	W
James Nakashima	L
Ben Neumann	W
Hayward Charles	W
David Burrow	W
Alex Morono	L
Brock Larson	W
Daniel Roberts	W
Kyle Bradley	W
Derek Campos	L
Jorge Patino	L
Charles Byrd	W
Brandon Farran	W
Andrey Koreshkov	L
Eric Scallan	W
Sean Spencer	L
Brian Melancon	L
Ryan Larson	W
Rocky Long	W
Dustin Poirier	L
Rich Clementi	L
Mike Clifton	W
Todd Moore	L
Donald Wallace	W
Adam Schindler	W
Jason Wright	W
Aaron Hall	W
Cleo Wright	W
Chance Burke	W
Brandon Jinnies	W
Jay Hall	W
