Aleksei Oleinik	W
Ilir Latifi	W
Blagoy Ivanov	W
Junior Dos Santos	L
Daniel Cormier	L
Alexander Volkov	W
Francis Ngannou	W
Marcin Tybura	W
Mark Hunt	L
Travis Browne	W
Shamil Abdurakhimov	W
Roy Nelson	W
Gabriel Gonzaga	W
Damian Grabowski	W
Viktor Pesta	W
Shawn Jordan	L
Ruan Potts	W
Matt Mitrione	L
Guto Inocente	W
Jack May	W
Ricky Shivers	W
Jared Rosholt	W
Justin Frazier	W
Jeremiah Constant	D
Rakim Cleveland	W
Jay Peche	W
Tony Johnson Jr.	L
Taylor Herbert	W
Rakim Cleveland	W
Ryan Martinez	W
Shawn Jordan	L
Nick Mitchell	W
