Michel Pereira	W
Michael Chiesa	L
Mickey Gall	W
Craig White	W
Matt Brown	L
Al Iaquinta	L
Marcin Held	W
Joe Lauzon	L
Jim Miller	W
Ricardo Lamas	L
Ross Pearson	W
Myles Jury	L
Gilbert Melendez	L
Takanori Gomi	W
Jake Ellenberger	L
Martin Kampmann	W
Paulo Thiago	W
John Hathaway	L
BJ Penn	L
Clay Guida	W
Joe Stevenson	W
Luigi Fioravanti	W
David Bielkheden	W
Jon Fitch	L
Josh Koscheck	L
Joe Riggs	W
Karo Parisyan	W
John Alessio	W
Nick Diaz	W
Brian Gassaway	W
Kenny Florian	W
Josh Koscheck	W
Jorge Santiago	W
Ray Elbe	W
Travis Beachler	W
Cruz Chacon	W
John Cronk	W
Rene Kronvold	W
Mike Guymon	W
Jake Short	W
Shannon Ritch	W
Jesus Sanchez	W
Michael Johnson	W
